local_obj_coords,global_obj_coords,local_to_global_obj_coords,local_wrist_coords,global_wrist_coords,local_to_global_wrist_coords,global_to_local_transf,shape,orientation,hand_orient_variation,local_finger_coords,global_finger_coords,local_to_global_finger_coords,local_coord_region,total_episode_reward,success,coords_file,coords_file_idx
"[0.15562939759278138, -0.2937851925039714, -0.006603161239965899]","[0.07717948593155105, -0.04092234177700339, 0.054985908406851275]","[0.07717948593155105, -0.04092234177700338, 0.05498590840685128]","[0.0, 0.0, 3.469446951953614e-18]","[0.000944209621334343, 0.2824467344866216, 0.06893128865850857]","[0.0009442096213343675, 0.28244673448662166, 0.06893128865850857]","[[ 0.9606675  -0.25910339  0.09991689  0.06538844]
 [ 0.25203054  0.96456234  0.07810312 -0.2780592 ]
 [-0.11661285 -0.04984902  0.99192566 -0.05418491]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.49202154e+00 -9.17675714e-05 -1.45267800e+00],"[-0.026616977657715715, 0.021443215288785455, 0.008929688376851937, 0.0731060085624769, 0.021593216243538327, 0.02784992879310215, 0.07310588242922102, 0.02159321624405497, -0.024422202644207223, -0.0546896364753148, 0.043696505154325826, 0.014947621360026201, 0.1013283005605989, 0.04384650740862728, 0.033121728012873136, 0.10132829271489847, 0.04384650740865953, -0.029693368580628494]","[-0.02026282703592955, 0.3095814653361283, 0.07680417212027275, 0.07336926654600477, 0.2829444312185338, 0.10554737032871611, 0.07946474776562715, 0.28555017855940545, 0.05369728918594425, -0.04232457763552291, 0.3380198837000778, 0.08170663290618276, 0.10547525478808967, 0.29683383221771475, 0.11533453841770491, 0.11280029489102755, 0.2999651054172402, 0.05302663140991588]","[-0.020262827035929527, 0.30958146533612835, 0.07680417212027275, 0.07336926654600479, 0.2829444312185338, 0.10554737032871611, 0.07946474776562715, 0.28555017855940545, 0.05369728918594424, -0.04232457763552291, 0.3380198837000778, 0.08170663290618276, 0.10547525478808968, 0.29683383221771475, 0.11533453841770491, 0.11280029489102758, 0.29996510541724025, 0.05302663140991589]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.187835045327834, -0.3215358563032765, 0.054926293663609155]","[0.025446258799800857, -0.10482832258002651, 0.05498260675695089]","[0.025446258799800826, -0.10482832258002661, 0.054982606756950866]","[0.0, 0.0, 0.0]","[0.004032204514597459, 0.2707596229612165, 0.06760569357398544]","[0.0040322045145974586, 0.2707596229612165, 0.06760569357398542]","[[ 0.89289527 -0.44753851 -0.04947037  0.1209195 ]
 [ 0.44878686  0.87568389  0.17823601 -0.25095921]
 [-0.03644707 -0.18134775  0.98274341 -0.01719044]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.37202431e+00  3.60783525e-05 -1.53105916e+00],"[-0.01477416072330709, 0.039093777293544685, 0.02165387221920819, 0.08494882549688552, 0.039243778248297556, 0.040574112635458515, 0.08494869936362963, 0.03924377824881403, -0.011698018801850854, -0.04284681954090612, 0.061347067159085084, 0.027671805202382375, 0.11317111749500756, 0.06149706941338645, 0.045845911855229474, 0.11317110964930713, 0.06149706941341848, -0.016969184738272164]","[0.007595979600947857, 0.3076785388530713, 0.09658469608865516, 0.09601589360640167, 0.25974887281929787, 0.1102718396740408, 0.09792094699795988, 0.2692283626502711, 0.05890175334809578, -0.007702316675315606, 0.33863764355705, 0.10785388271816863, 0.1310102877022902, 0.26564913005861907, 0.11802283617065609, 0.1332997068973679, 0.27704050995169766, 0.05629171449016354]","[0.007595979600947865, 0.3076785388530713, 0.09658469608865514, 0.09601589360640168, 0.25974887281929787, 0.1102718396740408, 0.09792094699795986, 0.26922836265027106, 0.05890175334809577, -0.007702316675315608, 0.33863764355705006, 0.10785388271816862, 0.13101028770229023, 0.2656491300586191, 0.11802283617065609, 0.13329970689736792, 0.27704050995169766, 0.05629171449016354]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.04686529644906219, 0.07817857058630608, 0.038726735134971796]","[0.03579616327815672, -0.013981863450695183, 0.054973024619334114]","[0.03579616327815672, -0.0139818634506952, 0.0549730246193341]","[0.0, -1.3877787807814457e-17, 0.0]","[-0.0005522010589283817, 0.07681501621860931, 0.039393294944941676]","[-0.0005522010589283797, 0.07681501621860932, 0.03939329494494167]","[[-0.98824502  0.13336042  0.07474479 -0.01373424]
 [-0.14746029 -0.96053176 -0.23586903  0.08299349]
 [ 0.04033915 -0.24411828  0.96890609 -0.01939418]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.33561553  0.14887287 -1.53544735],"[-0.03674241859344942, 0.015445193416628367, 0.0072464772824634375, 0.06298056762674319, 0.015595194371381321, 0.026166717698713655, 0.06298044149348729, 0.015595194371897908, -0.026105413738595692, -0.06481507741104849, 0.03769848328216879, 0.013264410265637653, 0.0912028596248652, 0.03784848553647022, 0.03143851691848462, 0.09120285177916475, 0.03784848553650233, -0.03137657967501698]","[0.03377307503752941, 0.05531043542648909, 0.04002510396331266, -0.06403656204824541, 0.06384667758569323, 0.06577543291880968, -0.06614505067224023, 0.076607243553803, 0.015128636801866038, 0.05847702190373947, 0.028722574693358816, 0.0385087691763337, -0.0949959184438248, 0.044948478808710626, 0.0677439183457851, -0.09752981820230873, 0.06028279106642098, 0.006881987883073117]","[0.03377307503752941, 0.055310435426489085, 0.04002510396331265, -0.06403656204824543, 0.06384667758569323, 0.06577543291880968, -0.06614505067224023, 0.07660724355380298, 0.01512863680186603, 0.05847702190373947, 0.028722574693358816, 0.038508769176333696, -0.09499591844382478, 0.044948478808710626, 0.06774391834578508, -0.09752981820230873, 0.06028279106642099, 0.006881987883073112]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.1210972447140103, 0.09373270499900742, 0.04971077409072554]","[0.108324340935191, -0.041071687453723436, 0.05504717857196268]","[0.108324340935191, -0.04107168745372344, 0.05504717857196269]","[0.0, 0.0, 0.0]","[-0.0011856048872799247, 0.07622985169405919, 0.042030097333232444]","[-0.0011856048872799251, 0.07622985169405919, 0.042030097333232444]","[[-0.98299673  0.12914181  0.13053667 -0.01649638]
 [-0.1543801  -0.9661415  -0.20673021  0.08215468]
 [ 0.09941938 -0.22336739  0.96965086 -0.02360939]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.3675888   0.15575435 -1.47191621],"[-0.03661511913141492, 0.015502305741126439, 0.00681513890631226, 0.0631078670887777, 0.015652306695879373, 0.025735379322562493, 0.06310774095552178, 0.015652306696395973, -0.026536752114746872, -0.064687777949014, 0.03775559560666688, 0.012833071889486484, 0.09133015908689972, 0.03790559786096824, 0.031007178542333466, 0.09133015124119925, 0.03790559786100039, -0.03180791805116816]","[0.03309124689954813, 0.055001608343252295, 0.040653991801616045, -0.0630782409419591, 0.06350892799098604, 0.0719865164219102, -0.06827498010726725, 0.07518480124613675, 0.021300782622421167, 0.05784941281126689, 0.028532217601218948, 0.03822434681676115, -0.09373200794835924, 0.04447622954254382, 0.07618193754583354, -0.09997703850050113, 0.05850707267895726, 0.015273223930003691]","[0.033091246899548135, 0.05500160834325228, 0.04065399180161604, -0.0630782409419591, 0.06350892799098604, 0.0719865164219102, -0.06827498010726724, 0.07518480124613673, 0.021300782622421167, 0.05784941281126689, 0.028532217601218934, 0.03822434681676115, -0.09373200794835924, 0.044476229542543814, 0.07618193754583354, -0.09997703850050113, 0.058507072678957245, 0.015273223930003696]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.057654920712448585, 0.08186413938085162, -0.0030003012456352235]","[-0.051169773911468444, -0.01379010869858832, 0.05498088155843362]","[-0.051169773911468444, -0.013790108698588321, 0.05498088155843362]","[0.0, 0.0, -2.6020852139652106e-18]","[0.002172294602172754, 0.07098293553683008, 0.05670822177871339]","[0.002172294602172753, 0.07098293553683009, 0.05670822177871339]","[[-0.98886719 -0.06064912  0.13587998 -0.00125235]
 [ 0.04997917 -0.99549209 -0.08060758  0.07512549]
 [ 0.14015623 -0.07291903  0.98744066 -0.05112446]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.49465946 -0.05220364 -1.43246255],"[-0.05518400641808059, 0.01143843355406264, 0.007544224055979615, 0.04453897980211199, 0.011588434508815623, 0.02646446447222983, 0.04453885366885611, 0.01158843450933221, -0.025807666965079544, -0.08325666523567968, 0.033691723419603054, 0.013562157039153842, 0.072761271800234, 0.03384172567390452, 0.031736263692000805, 0.07276126395453358, 0.03384172567393663, -0.031078832901500843]","[0.05837100121408442, 0.06239280929514035, 0.05573726893310392, -0.037582501243638135, 0.05481572781378173, 0.08795815006147377, -0.044908641280131216, 0.05862736837860383, 0.036342505210464185, 0.08808678411100952, 0.041503595471331506, 0.05607132426545224, -0.06363952325659565, 0.030566680897989987, 0.09520479948110498, -0.07244344249076871, 0.03514709704042944, 0.0331786182821045]","[0.05837100121408442, 0.06239280929514036, 0.05573726893310391, -0.03758250124363813, 0.05481572781378173, 0.08795815006147377, -0.04490864128013122, 0.05862736837860383, 0.036342505210464185, 0.08808678411100954, 0.041503595471331506, 0.056071324265452235, -0.06363952325659568, 0.030566680897989987, 0.09520479948110498, -0.07244344249076873, 0.03514709704042945, 0.0331786182821045]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.031180550173985515, 0.061778285757166394, -0.022110147204906748]","[0.03420706942639112, 0.008259582809427913, 0.05498486439905287]","[0.03420706942639113, 0.008259582809427915, 0.054984864399052875]","[8.673617379884035e-19, 0.0, 6.071532165918825e-18]","[0.001502524110605601, 0.07134504935993816, 0.07009375368521042]","[0.0015025241106055999, 0.07134504935993816, 0.07009375368521042]","[[-0.99012875  0.0143517  -0.13942416  0.01023653]
 [-0.01999867 -0.99903179  0.03918579  0.06855934]
 [-0.13872678  0.04158728  0.98945711 -0.07211337]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.61513194  0.02037014 -1.71395256],"[-0.048199868439639665, 0.012069621228611917, 0.007298323630293233, 0.05152311778055295, 0.012219622183364913, 0.026218564046543474, 0.05152299164729706, 0.0122196221838815, -0.02605356739076588, -0.07627252725723875, 0.034322911094152336, 0.013316256613467449, 0.07974540977867496, 0.0344729133484538, 0.03149036326631445, 0.07974540193297451, 0.034472913348485935, -0.03132473332718717]","[0.04797275007209669, 0.05889888117429224, 0.08450831571795364, -0.053393589104297874, 0.06096706151074344, 0.08933116658024608, -0.04614191947829743, 0.05879320405647088, 0.03761015193030809, 0.07448841190536162, 0.036514516024137966, 0.09524882197639228, -0.08251366758224662, 0.039359593854250835, 0.09148452935293327, -0.0737995234159718, 0.03674728487886751, 0.02933168635023943]","[0.0479727500720967, 0.058898881174292234, 0.08450831571795364, -0.053393589104297874, 0.06096706151074344, 0.08933116658024609, -0.04614191947829744, 0.058793204056470885, 0.03761015193030809, 0.07448841190536162, 0.03651451602413795, 0.0952488219763923, -0.08251366758224662, 0.039359593854250835, 0.09148452935293329, -0.0737995234159718, 0.03674728487886751, 0.029331686350239434]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.05759806412561884, 0.08144578219063273, 0.05639882845227572]","[0.04728490720262373, -0.022733385774566225, 0.05497201866686753]","[0.047284907202623724, -0.02273338577456624, 0.05497201866686753]","[-1.734723475976807e-18, 0.0, 0.0]","[-0.003974676744022111, 0.0782594587579537, 0.03751691381759393]","[-0.003974676744022111, 0.0782594587579537, 0.03751691381759393]","[[-0.95061532  0.13604258  0.27896762 -0.02489101]
 [-0.20454612 -0.95061532 -0.23343394  0.08233936]
 [ 0.23343394 -0.27896762  0.93149646 -0.01218719]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.33982824  0.20688616 -1.33940502],"[-0.034060231387757114, 0.016735271335404533, 0.005733991632281535, 0.06566275483243547, 0.016885272290157488, 0.024654232048531774, 0.0656626286991796, 0.016885272290674103, -0.027617899388777612, -0.06213289020535618, 0.03898856120094496, 0.011751924615455761, 0.09388504683055748, 0.039138563455246383, 0.029926031268302754, 0.09388503898485709, 0.03913856345527853, -0.032889065325198884]","[0.02631887437849145, 0.05611741360017802, 0.029449824781583363, -0.06409337975346237, 0.06426325865313211, 0.07485843067870514, -0.07629534928788284, 0.07884547360560677, 0.026167089851242244, 0.049858139572739525, 0.029465209903949602, 0.022029472190993594, -0.09424313032218841, 0.04547771144127187, 0.08244752528304601, -0.1089062981668841, 0.06300108838635302, 0.02393548268282666]","[0.026318874378491446, 0.05611741360017802, 0.02944982478158336, -0.06409337975346235, 0.06426325865313212, 0.07485843067870514, -0.07629534928788284, 0.07884547360560677, 0.02616708985124223, 0.04985813957273952, 0.02946520990394961, 0.022029472190993597, -0.09424313032218841, 0.045477711441271856, 0.082447525283046, -0.10890629816688409, 0.06300108838635302, 0.023935482682826664]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.07363200945362583, 0.08754563751539923, 0.02902947715019575]","[-0.06491118607227299, -0.023026420417925145, 0.054983460080649964]","[-0.06491118607227299, -0.023026420417925145, 0.05498346008064996]","[0.0, 0.0, 0.0]","[0.0020182279658113, 0.07325116793734023, 0.04157818034529906]","[0.0020182279658112986, 0.07325116793734024, 0.04157818034529905]","[[-0.99624838 -0.0641356   0.05810159  0.00429291]
 [ 0.04997917 -0.97450396 -0.21873299  0.0803772 ]
 [ 0.0706488  -0.21500851  0.97405343 -0.02489233]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.35940317 -0.05525813 -1.50899672],"[-0.05535302604323668, 0.011434605136820618, 0.007324719784118734, 0.044369960176955936, 0.011584606091573559, 0.026244960200368955, 0.044369834043700006, 0.011584606092090166, -0.026027171236940396, -0.08342568486083574, 0.03368789500236105, 0.01334265276729295, 0.07259225217507796, 0.03383789725666243, 0.03151675942013993, 0.07259224432937747, 0.03383789725669459, -0.03129833717336168]","[0.058252565075780124, 0.06408332262325626, 0.04299562480400457, -0.03975210897939731, 0.05347333938858072, 0.06718620349625981, -0.04344494660485505, 0.0647123007370721, 0.0162703471929983, 0.08775726655435676, 0.042903953682590576, 0.04235881851139504, -0.06638387430783102, 0.028843883621887265, 0.06909344874708337, -0.07082167759890912, 0.04234966464680083, 0.007908187932833505]","[0.058252565075780124, 0.06408332262325628, 0.04299562480400456, -0.03975210897939731, 0.053473339388580725, 0.0671862034962598, -0.04344494660485505, 0.06471230073707211, 0.016270347192998292, 0.08775726655435676, 0.04290395368259058, 0.04235881851139503, -0.06638387430783102, 0.02884388362188727, 0.06909344874708337, -0.0708216775989091, 0.04234966464680084, 0.007908187932833498]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.008713649643686334, 0.0930097584504945, 0.029153771260217374]","[-0.003044156681564014, -0.021851380434153852, 0.05497842902313812]","[-0.003044156681564018, -0.021851380434153855, 0.054978429023138126]","[1.734723475976807e-18, 0.0, 0.0]","[-0.00033538295806637315, 0.07541543676401863, 0.044561421157272144]","[-0.0003353829580663742, 0.07541543676401863, 0.044561421157272144]","[[-0.98921551  0.125263    0.07590691 -0.01316105]
 [-0.1375624  -0.97251915 -0.18783794  0.08166715]
 [ 0.05029178 -0.19625414  0.9792625  -0.02881987]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.38033898  0.13866593 -1.52917808],"[-0.037550764745064344, 0.015102349429797587, 0.0071136405397814705, 0.06217222147512826, 0.01525235038455057, 0.026033880956031707, 0.06217209534187235, 0.015252350385067157, -0.02623825048127766, -0.06562342356266342, 0.037355639295338, 0.01313157352295569, 0.09039451347325027, 0.03750564154963948, 0.03130568017580268, 0.09039450562754982, 0.037505641549671606, -0.03150941641769896]","[0.035090657994632984, 0.05462830987835496, 0.04584038606104551, -0.06262596849020473, 0.06326085622694026, 0.07190975564164907, -0.06525470209880432, 0.07351946237994261, 0.020721607751460112, 0.06010200393057537, 0.02828904962265117, 0.04542260145866753, -0.09333998551351497, 0.04411970105166896, 0.07503448557670847, -0.09649906058728121, 0.056447422531983114, 0.0135220162080259]","[0.035090657994632984, 0.05462830987835496, 0.04584038606104551, -0.06262596849020473, 0.06326085622694028, 0.07190975564164907, -0.06525470209880431, 0.07351946237994261, 0.02072160775146012, 0.06010200393057537, 0.028289049622651156, 0.045422601458667534, -0.09333998551351495, 0.044119701051668944, 0.07503448557670848, -0.0964990605872812, 0.05644742253198311, 0.013522016208025898]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.05230804388659136, 0.06927197875515213, -0.0005302082159315425]","[-0.05717693057360897, 0.00868158280942807, 0.054984864399052855]","[-0.057176930573608974, 0.008681582809428073, 0.05498486439905286]","[0.0, 0.0, 3.2526065174565133e-19]","[0.000889253031117667, 0.07255869091048847, 0.06409820620520043]","[0.0008892530311176682, 0.07255869091048847, 0.06409820620520043]","[[-0.98586131  0.09680466 -0.13677107  0.00261944]
 [-0.09485717 -0.99527563 -0.02070106  0.07362715]
 [-0.13812888 -0.00743466  0.99038636 -0.06281971]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.55895656  0.09527455 -1.71385381],"[-0.04080191524169361, 0.013896938265313949, 0.007828808489461972, 0.058921070978498996, 0.014046939220066855, 0.026749048905712176, 0.05892094484524311, 0.014046939220583476, -0.025523082531597165, -0.06887457405929268, 0.0361502281308544, 0.013846741472636204, 0.08714336297662101, 0.03630023038515575, 0.032020848125483184, 0.08714335513092059, 0.0363002303851879, -0.03079424846801845]","[0.038714674088260854, 0.05471938683227028, 0.07714459171075962, -0.062226020387375555, 0.06408307879685082, 0.08224061466366463, -0.05500560528257549, 0.06447169206405079, 0.030471025999486645, 0.06344828802107151, 0.029808924219211785, 0.08648353140138582, -0.09288835816448933, 0.04462777572646738, 0.08314107276972665, -0.08421177174936904, 0.04509478379684303, 0.020929859056328038]","[0.038714674088260854, 0.05471938683227028, 0.07714459171075963, -0.062226020387375555, 0.06408307879685084, 0.08224061466366463, -0.05500560528257549, 0.06447169206405078, 0.030471025999486652, 0.06344828802107151, 0.029808924219211788, 0.08648353140138583, -0.09288835816448934, 0.044627775726467374, 0.08314107276972665, -0.08421177174936904, 0.04509478379684302, 0.02092985905632805]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
