obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,policy_success,difficulty
"[0.0015277944815193407, 0.0032121975904432216, 0.054980000121842634]","[0.00644660827696103, 0.06674955889633842, -0.009103422758075373]",[-1.56662078 -0.0399751  -1.66721029],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.023076891006089253, -0.006103680832639732, 0.054980000121842634]","[-0.005246011143186607, 0.07654929271784139, -0.02115514284951619]",[-1.62614248 -0.08735527 -1.64633575],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.07232832981228766, -0.00829683607348728, 0.054980000121842634]","[-0.05988483038568457, 0.08217499317348421, -0.01668056517719578]",[-1.58348198 -0.06044288 -1.63493829],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.00753190424258288, 0.032826079032271686, 0.054980000121842634]","[0.009966524370889105, 0.03303701124025337, -0.03558863300852502]",[-1.74981023 -0.09491072 -1.67939017],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.07144638752082584, -0.0021743605908890974, 0.054980000121842634]","[-0.044932583603825925, 0.07986169765705657, -0.01828275245693909]",[-1.61349165 -0.14231617 -1.57294567],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.0525724891413587, 0.009496457956102537, 0.054980000121842634]","[-0.037567956657603145, 0.06206302548524421, -0.030444453598822085]",[-1.66621853 -0.07158247 -1.66891688],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.007162551494058075, 0.00410670035979838, 0.054980000121842634]","[0.004876535888166571, 0.0646867134580055, -0.02364535765548225]",[-1.64695067  0.01686785 -1.59862547],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.061329248474552164, -0.005237151666336323, 0.054980000121842634]","[0.07321794148163333, 0.0711477020548436, 0.002701584500468368]",[-1.54856844 -0.06363407 -1.69377432],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[-0.007405444658663288, 0.004346180906637026, 0.054980000121842634]","[0.02845292191738942, 0.0626636692103383, -0.01988390654079354]",[-1.63847132 -0.1105843  -1.6575507 ],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.04454535523918048, -0.009537038159466845, 0.054980000121842634]","[-0.026215425437845538, 0.07949355587874875, -0.03771071007882302]",[-1.69434979 -0.07087514 -1.71030218],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[-0.010537351682083747, -0.009645456414462196, 0.054980000121842634]","[0.0032755821214838156, 0.07755725703936542, -0.03156829438245293]",[-1.68361668  0.04843526 -1.62822578],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.054393385473280396, 0.0074225832909247036, 0.054980000121842634]","[-0.04083431793999147, 0.061724454630432204, -0.041151569823517226]",[-1.72512308 -0.05644974 -1.67181235],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.009354407865494619, -0.007345324369356384, 0.054980000121842634]","[0.004415430296600667, 0.07467511659967407, -0.034204636984286566]",[-1.70009109  0.0502497  -1.69689766],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.025536974123465752, 0.018869464542661932, 0.054980000121842634]","[0.033247051793956026, 0.04972609613282525, -0.010294205301494032]",[-1.57815831 -0.04535232 -1.61050523],CylinderM,normal,TRUE,TRUE,TRUE,easy
