obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,difficulty
"[-0.013861964577468354, 0.01918196457736165, 0.04795333434656677]","[0.011650802617937047, 0.04957674488699222, -0.027540915220745643]",[-1.63855192  0.02624496 -1.64144271],CubeS,normal,True,True,easy
"[-0.04440697598988604, -0.00336744523271704, 0.04791653232514312]","[0.05065685262934549, 0.07205447680803762, -0.0138319154681493]",[-1.48452004 -0.04411295 -1.33505617],CubeS,normal,False,False,hard
"[-0.05636996457746831, 0.013008964577361734, 0.04795333434656683]","[0.005543934396104955, 0.06642544762410547, 0.014535858504341134]",[-1.37737647  0.30126603 -1.48038669],CubeS,normal,True,True,easy
"[-0.03301796457746848, 0.027382964577361786, 0.04795333434656719]","[0.004180567060228631, 0.04600864033571446, 0.018175770358173412]",[-1.33575576  0.20249681 -1.43472903],CubeS,normal,True,True,easy
"[0.012753035422531513, 0.030552964577361792, 0.047953334346567206]","[-0.02187473303907976, 0.03718043445439247, -0.025707162811394898]",[-1.64185711  0.04119876 -1.45759853],CubeS,normal,False,True,med
"[0.009985035422531683, 0.012441964577361735, 0.047953334346566845]","[-0.02743249569945507, 0.05618929864460231, -0.010409491112468614]",[-1.53208629  0.10303029 -1.55105291],CubeS,normal,True,True,easy
"[0.007025035422531433, 0.037103964577361793, 0.04795333434656725]","[-0.010591500257360328, 0.03323991565024171, -0.01196498606051546]",[-1.54667558  0.00479583 -1.34986519],CubeS,normal,True,True,easy
"[-0.010346964577468355, 0.025489964577361652, 0.047953334346566776]","[-0.017501550659190034, 0.044841788564406904, 0.001585277071786793]",[-1.45963539  0.17944614 -1.46914759],CubeS,normal,True,True,easy
"[-0.03938996457746848, 0.011246964577361783, 0.047953334346567206]","[0.030822906632300858, 0.06103175419018053, -0.011473007520140913]",[-1.52370671  0.04639368 -1.50697248],CubeS,normal,True,True,easy
"[-0.05712196457746844, 0.005579964577361742, 0.04795333434656706]","[0.0436465915751925, 0.06668543543794092, -0.029442922484362307]",[-1.61940235  0.06445118 -1.49166519],CubeS,normal,True,True,easy
"[-0.04909796457746844, 0.004857964577361743, 0.04795333434656706]","[0.04421794157472878, 0.06674119218092724, 0.014037573487469819]",[-1.33477882  0.05347557 -1.33470587],CubeS,normal,True,True,easy
"[0.014884035422531555, 0.01130196457736174, 0.04795333434656706]","[-0.026756869038209046, 0.05813303398514356, 0.0005483161152560216]",[-1.48798915  0.06901275 -1.42165927],CubeS,normal,True,True,easy
"[-0.03226696457746848, 0.030572964577361784, 0.04795333434656721]","[0.010419388261527062, 0.04347858174226363, 0.00312143481487342]",[-1.43988536  0.14202012 -1.6574071 ],CubeS,normal,True,True,easy
"[-0.0013169645774685663, 0.0330279645773618, 0.04795333434656725]","[-0.0062387304569203, 0.03787128673885336, 0.0014354563301933014]",[-1.4424718   0.05095259 -1.58198743],CubeS,normal,True,True,easy
"[0.018189035422531568, 0.0011889645773616613, 0.04795333434656681]","[-0.030819192998046946, 0.0677008108188625, -0.009011809929685446]",[-1.53992133  0.06511967 -1.47499684],CubeS,normal,True,True,easy
"[-0.03471896457746848, 0.004179964577361786, 0.047953334346567206]","[0.026853470392980458, 0.06676499192715246, -0.02134259254680573]",[-1.59664055  0.04764121 -1.59492536],CubeS,normal,True,True,easy
"[-0.015199964577468443, 0.01755296457736174, 0.04795333434656706]","[0.013818341067509086, 0.05346437417832435, -0.0035939126051722486]",[-1.4855149   0.00838004 -1.56735449],CubeS,normal,True,True,easy
"[-0.06403796457746849, 0.004288964577361741, 0.04795333434656706]","[0.0604414985320717, 0.0678362629292086, -0.0008389645489400859]",[-1.47007518  0.02026638 -1.55179371],CubeS,normal,False,False,hard
"[0.02702203542253143, 0.0026799645773617924, 0.047953334346567233]","[-0.050625640302588835, 0.06295655125893743, -0.0002177697231532591]",[-1.50792694  0.13207339 -1.45089929],CubeS,normal,True,False,med
"[-0.02059196457746843, 0.026876964577361655, 0.04795333434656681]","[-0.010031884162051339, 0.04515920636982507, 0.00024719116117910035]",[-1.46686225  0.19672821 -1.39950065],CubeS,normal,True,True,easy
"[-0.0567529645774684, 0.014619964577361824, 0.04795333434656713]","[0.03996194533753904, 0.061033174859355714, -0.00515143373399124]",[-1.46478504  0.09751608 -1.43885697],CubeS,normal,True,True,easy
"[0.03196303542253156, 0.01641896457736174, 0.04795333434656706]","[-0.03768172324076167, 0.05328636853112065, -0.0015577263279522094]",[-1.500059    0.03231874 -1.45659871],CubeS,normal,True,True,easy
"[-0.06167896457746848, 0.0058559645773617885, 0.0479533343465672]","[0.03237930110644686, 0.0727105960638897, 0.0018013419687911217]",[-1.43203825  0.16724136 -1.41488238],CubeS,normal,True,True,easy
"[-0.01910396457746857, 0.0317999645773618, 0.04795333434656725]","[0.0102041174974732, 0.03999715726656965, -0.005415431867985219]",[-1.4964772   0.06339326 -1.66949184],CubeS,normal,True,True,easy
"[-0.0064219645774685665, 0.022385964577361795, 0.04795333434656725]","[-0.020924335793525303, 0.04706816279981682, -0.008920557154999039]",[-1.51266727  0.174653   -1.60214167],CubeS,normal,True,True,easy
"[0.007390035422531485, 0.01580096457736175, 0.047953334346567095]","[-0.026396971596928914, 0.052803266990349984, -0.010891195869761278]",[-1.54840247  0.10759986 -1.4591038 ],CubeS,normal,True,True,easy
"[-0.006097498982277841, 0.031564166357916035, 0.04791933148846084]","[-0.013541590015897786, 0.038788443587452856, 0.007387446726326882]",[-1.41520424  0.13675717 -1.45216737],CubeS,normal,True,True,easy
"[-0.022610358514554597, 0.020947133861372275, 0.047910957554140245]","[-0.00532298737378397, 0.04471751459039924, 0.04635801580234139]",[-1.18358751  0.24838979 -1.33708392],CubeS,normal,True,True,easy
"[-0.058483964577468406, 0.004619964577361824, 0.04795333434656713]","[0.04713632859308865, 0.06959423621339396, -0.0026446031193939315]",[-1.49790001  0.06462885 -1.61291717],CubeS,normal,True,True,easy
"[-0.039694964577468406, 0.014080964577361823, 0.04795333434656713]","[0.02447729408763123, 0.0596119331769375, 0.0064696884729871715]",[-1.42599981  0.09076567 -1.56233579],CubeS,normal,True,True,easy
"[0.03694103542253165, 0.002910964577361649, 0.04795333434656677]","[-0.05644338787266469, 0.0621756058389223, -0.014115857284907543]",[-1.56154346  0.10894294 -1.54071048],CubeS,normal,True,False,med
"[0.024411632436847373, 0.01404135247331322, 0.047895301108586454]","[-0.04006877387625382, 0.05382358463337666, 0.0009702825992256653]",[-1.46551297  0.09469024 -1.54740024],CubeS,normal,True,False,med
"[-0.003918964577468429, 0.03351696457736166, 0.04795333434656681]","[-0.00327479718790368, 0.03621995108272276, -0.01964753677070773]",[-1.58676487  0.04264065 -1.52218264],CubeS,normal,True,True,easy
"[-0.01964896457746852, 0.007620964577361753, 0.04795333434656709]","[-0.008185176801628974, 0.06415744375760556, -0.002680945574042426]",[-1.49299847  0.15673564 -1.40478339],CubeS,normal,True,True,easy
"[0.03313603542253152, 0.019344964577361793, 0.04795333434656721]","[-0.029981767890186244, 0.051608580948074356, 0.01400655384895744]",[-1.38169237 -0.01693144 -1.53958494],CubeS,normal,True,True,easy
"[0.07222903542253162, 0.00541496457736165, 0.047953334346566776]","[-0.052711298469652695, 0.07227086313448995, -0.0004536076135943787]",[-1.47480441 -0.1090239  -1.56738689],CubeS,normal,False,True,med
"[-0.005455964577468569, 0.026258964577361796, 0.04795333434656725]","[-0.025245472511016526, 0.041195796712397786, -0.021747570873937676]",[-1.60678355  0.1939756  -1.52142826],CubeS,normal,True,True,easy
"[-0.005033964577468412, 0.012906964577361884, 0.04795333434656731]","[-0.023503338832605247, 0.05602487842982036, -0.01153872759986942]",[-1.55383652  0.16019817 -1.43518133],CubeS,normal,True,True,easy
"[-0.021945941655283074, 0.03614749857978092, 0.04792150547253251]","[0.010682497466177596, 0.03532226141032086, -0.015747662601586374]",[-1.5617145   0.08232639 -1.61170256],CubeS,normal,False,True,med
"[-0.0013798783427749052, 0.01790286772748843, 0.0479164821939803]","[-0.0046090759049149665, 0.052421796854757716, 0.013452660549531337]",[-1.37929462  0.03220694 -1.62654591],CubeS,normal,True,True,easy
"[-0.03224196457746848, 0.018003964577361788, 0.04795333434656721]","[0.0049962794890182245, 0.055756528196785775, -0.009298196938429815]",[-1.51737852  0.16023553 -1.47410519],CubeS,normal,True,True,easy
"[-0.01718996457746857, 0.031160964577361793, 0.047953334346567233]","[-0.0029530772813503546, 0.04070740907801122, -0.005612100649666542]",[-1.49410848  0.12806969 -1.41981315],CubeS,normal,True,True,easy
"[-0.0008899645774685679, 0.023556964577361793, 0.04795333434656724]","[-0.004487151367724771, 0.04732992733886231, 0.002600182257472756]",[-1.44771724  0.03633661 -1.41896664],CubeS,normal,True,True,easy
"[0.03703403542253152, 0.005707964577361787, 0.047953334346567206]","[-0.03837004442454713, 0.06424446113761172, -0.014840046751535975]",[-1.58932089 -0.00841567 -1.4133672 ],CubeS,normal,True,True,easy
"[-0.04637396457746848, 0.01784996457736179, 0.0479533343465672]","[0.01942353282592914, 0.05812633591660685, 0.010189517379842736]",[-1.39744555  0.1644951  -1.53998324],CubeS,normal,True,True,easy
"[-0.023129964577468572, 0.01687296457736179, 0.04795333434656725]","[-0.004150932654891221, 0.05495359536077195, -0.014929575519938579]",[-1.55447651  0.16880088 -1.60427743],CubeS,normal,True,True,easy
"[0.021755325440538466, 0.025003036119182177, 0.04790331694150919]","[-0.01229858012100354, 0.04540674183444547, 0.022382502870631496]",[-1.32495422 -0.04430779 -1.45094745],CubeS,normal,True,True,easy
"[-0.03785096457746844, 0.0073989645773617375, 0.04795333434656706]","[0.01744852271050057, 0.06638465416117956, 0.01059254088953613]",[-1.39303632  0.12811079 -1.40360635],CubeS,normal,True,True,easy
"[-0.010751247957545979, 0.022529427712167285, 0.04791725848455439]","[0.020182923006410523, 0.047333788423379174, -0.007546214909657661]",[-1.48727154 -0.0656437  -1.41316646],CubeS,normal,True,True,easy
"[-0.03155096457746844, 0.0030839645773617407, 0.04795333434656704]","[0.012581760860763423, 0.06993605354855585, 0.007990558482942788]",[-1.41528596  0.11542643 -1.38608899],CubeS,normal,True,True,easy
"[-0.020294978340338287, 0.017251574401837718, 0.047904247605946096]","[0.013761432625716082, 0.05433695500420413, 0.0030042843379851393]",[-1.4344943   0.04296041 -1.43944195],CubeS,normal,True,True,easy
"[-0.0004996032655176715, 0.00762250072247019, 0.04791973279032108]","[0.020066540120471155, 0.06208471802517034, 0.0019988476957019225]",[-1.43627716 -0.10888832 -1.3785586 ],CubeS,normal,True,True,easy
"[-0.007481964577468569, 0.004611964577361795, 0.04795333434656724]","[-0.009693387002608756, 0.06479118464213063, -0.02180387409594914]",[-1.5940574   0.10163508 -1.5990541 ],CubeS,normal,True,True,easy
"[0.06628303542253164, 0.006289964577361771, 0.047953334346566776]","[-0.06588729297819075, 0.06454961071701958, 0.008018812650541343]",[-1.43374346e+00 -1.28192386e-03 -1.54701688e+00],CubeS,normal,False,False,hard
"[-0.007059964577468521, 0.003424964577361752, 0.04795333434656711]","[-0.01291433215813103, 0.06482883743199289, 0.028303180101377143]",[-1.31520362  0.12040278 -1.53061931],CubeS,normal,True,True,easy
"[-0.05861596457746849, 0.006497964577361784, 0.04795333434656719]","[0.012808094787835164, 0.0733958916303181, 0.0067136713201167405]",[-1.42387573  0.25953027 -1.45565436],CubeS,normal,True,True,easy
"[-0.07544896457746837, 0.0037469645773616504, 0.047953334346566776]","[0.03997929006432028, 0.07692180835687693, -0.022890146798928097]",[-1.59720357  0.19255984 -1.55100318],CubeS,normal,True,True,easy
"[-0.07431296457746847, 0.00047196457736173954, 0.04795333434656707]","[0.044531565641116044, 0.07988555403200438, -0.004187407424232675]",[-1.50109665  0.16094238 -1.58684225],CubeS,normal,False,False,hard
"[-0.015460964577468561, 0.010797964577361794, 0.04795333434656724]","[0.0001981446322934198, 0.06014126345916998, 0.014988914786405513]",[-1.37980742  0.09122256 -1.5550161 ],CubeS,normal,True,True,easy
"[-0.021985180224748418, 0.005398321074032804, 0.047915187077856976]","[0.006410790669878378, 0.06539756714972066, 0.021665832943826062]",[-1.35096856  0.07817883 -1.6598451 ],CubeS,normal,True,True,easy
"[-0.04312996457746836, 0.0009149645773616507, 0.04795333434656676]","[0.026559828274976577, 0.07221318924487075, 0.018137229292829165]",[-1.35519623  0.10523023 -1.44735106],CubeS,normal,True,True,easy
"[0.004598035422531482, 0.031394964577361746, 0.047953334346567095]","[-0.016371366833902036, 0.03799923966812356, -0.015400910063377102]",[-1.5726252   0.06223735 -1.41762596],CubeS,normal,False,False,hard
"[-0.006452964577468429, 0.0002899645773616614, 0.04795333434656681]","[-0.005186850418145206, 0.0689627385240472, 0.02423135424568683]",[-1.34583504  0.08637455 -1.40914289],CubeS,normal,True,True,easy
"[-0.024184964577468566, 0.010669964577361793, 0.047953334346567254]","[-0.011216037966166319, 0.060749190720642166, 0.016759293268371195]",[-1.38420576  0.22488934 -1.37580764],CubeS,normal,True,True,easy
"[-0.024525964577468574, 0.01783596457736179, 0.047953334346567254]","[0.02460089356819614, 0.0528618131859667, 0.008597052219112401]",[-1.38156588  0.01325264 -1.36833023],CubeS,normal,True,True,easy
"[-0.019104964577468575, 0.02439096457736179, 0.04795333434656725]","[-0.0037384357891235218, 0.04512590327019339, -0.02838196525172397]",[-1.64198023  0.14275436 -1.54465375],CubeS,normal,True,True,easy
"[0.026243035422531567, 0.02031896457736166, 0.04795333434656681]","[-0.010746495721694675, 0.052404340912926894, -0.0006775002569946089]",[-1.47641843 -0.0973065  -1.41650004],CubeS,normal,True,True,easy
"[-0.010684964577468446, 0.00727796457736174, 0.04795333434656706]","[-0.01527945683691897, 0.06312976216012786, -0.006639260812004413]",[-1.52835553  0.13794034 -1.32915457],CubeS,normal,True,True,easy
"[-0.05855796457746844, 0.01670896457736174, 0.04795333434656706]","[0.035285984707709425, 0.06024132834610611, -0.013045037885594652]",[-1.52635721  0.13351558 -1.49057191],CubeS,normal,True,True,easy
"[-0.00998596457746849, 0.011246964577361783, 0.04795333434656722]","[-0.013434132349476801, 0.059413146483854845, -0.0006344145143406996]",[-1.47760672  0.13740769 -1.49366548],CubeS,normal,True,True,easy
"[-0.0548085444877636, -0.003221242830394165, 0.04790249925578406]","[0.05917948150785235, 0.07168384275866495, -0.019207632711547785]",[-1.52885617 -0.03629551 -1.41512591],CubeS,normal,False,False,hard
"[0.002801035422531434, 0.006697964577361797, 0.04795333434656723]","[-0.044869579596424056, 0.05819160222827695, 0.00664328158484317]",[-1.42836051  0.2440154  -1.58614253],CubeS,normal,True,False,med
"[-0.03744096457746836, 0.01083196457736165, 0.04795333434656679]","[0.027990139584346097, 0.06069368818994157, 0.020106045803010796]",[-1.32800939  0.07341829 -1.43402964],CubeS,normal,True,True,easy
"[-0.010018964577468443, 0.02191396457736174, 0.04795333434656706]","[0.0028587519841495896, 0.04842187519791434, -0.017038115657092377]",[-1.56774846  0.04265814 -1.54684357],CubeS,normal,True,True,easy
"[-0.006620964577468566, 0.036383964577361795, 0.04795333434656725]","[0.005578383354178535, 0.03117182576210508, -0.031830585841653894]",[-1.6708549   0.00262432 -1.54963988],CubeS,normal,False,False,hard
"[0.00033403542253143264, 0.0373029645773618, 0.04795333434656725]","[-0.009277208206832534, 0.03289867637564639, -0.012682402708918912]",[-1.5448341   0.05101068 -1.44627013],CubeS,normal,True,True,easy
"[0.03830691199901948, -0.0032254503562238633, 0.04792151492184293]","[-0.05636619125156052, 0.06931652267340226, -0.0035944103662136654]",[-1.49273744  0.09947321 -1.57890207],CubeS,normal,False,False,hard
"[-0.010166964577468351, 0.021376964577361657, 0.047953334346566776]","[-0.01521939396548038, 0.04900615145579289, -0.007377975628498002]",[-1.52248334  0.15037387 -1.40665508],CubeS,normal,True,True,easy
"[-0.016761964577468574, 0.022470964577361797, 0.04795333434656724]","[0.01583188197972754, 0.048143536715889515, 0.0118625422265152]",[-1.3696469   0.02009191 -1.40015535],CubeS,normal,True,True,easy
"[-0.012714964577468563, 0.003262964577361796, 0.04795333434656725]","[0.022052447542688168, 0.06658270431371587, 0.005854421512292579]",[-1.41898004 -0.04541136 -1.40167829],CubeS,normal,True,True,easy
"[-0.009643964577468443, 0.03086396457736174, 0.047953334346567074]","[-0.006793727901891816, 0.039730638976442016, -0.013173088843471353]",[-1.54087206  0.11217353 -1.5989347 ],CubeS,normal,True,True,easy
"[0.020631035422531425, 0.02902796457736179, 0.047953334346567233]","[-0.027365042687430112, 0.04055744091419716, 0.01030498271545839]",[-1.43254473  0.05550231 -1.33150673],CubeS,normal,True,True,easy
"[-0.002199932855954356, 0.01686380857380999, 0.04789954212265828]","[-0.012267457379635381, 0.049732611994193945, 0.0354897849878094]",[-1.2547209   0.11215049 -1.47001884],CubeS,normal,True,True,easy
"[0.0062880354225314785, 0.01633396457736175, 0.04795333434656709]","[0.002918269549062675, 0.054674585809059345, 0.002064261203363951]",[-1.44780659 -0.05195649 -1.30265756],CubeS,normal,True,True,easy
"[-0.01626335189442974, 0.005886340634742389, 0.04790572295700389]","[0.012154797082858316, 0.06452813693014178, -0.016682417367645554]",[-1.55429655  0.00969936 -1.41670375],CubeS,normal,True,True,easy
"[-0.05723396457746848, 0.003731964577361786, 0.04795333434656721]","[0.028716238362388475, 0.07389531671917106, 0.0029022919398768525]",[-1.4608125   0.15723869 -1.60195319],CubeS,normal,True,True,easy
"[-0.02576296457746837, 0.014666964577361838, 0.047953334346567164]","[0.02669338509014018, 0.05608356583624258, 0.0026156146225785647]",[-1.4288688  -0.00211782 -1.43844395],CubeS,normal,True,True,easy
"[-0.019116964577468518, 0.005424964577361751, 0.0479533343465671]","[-0.005246336127738338, 0.06482456555927603, -0.02356129674146647]",[-1.60888116  0.11906761 -1.4205938 ],CubeS,normal,True,True,easy
"[-0.001160964577468428, 0.024762964577361657, 0.04795333434656681]","[-0.02014390347104282, 0.044841526158433564, 0.004753533197394158]",[-1.44361992  0.13943793 -1.45447603],CubeS,normal,True,True,easy
"[-0.04783796457746848, 0.0018099645773617876, 0.04795333434656721]","[0.025666528239320488, 0.07353405547667294, 0.0010126843953420553]",[-1.4640649   0.12232639 -1.54653607],CubeS,normal,True,True,easy
"[-0.018359957148647847, 6.863775013383116e-05, 0.047918695960351455]","[-0.002401844644755846, 0.06811351270082715, 0.035885747507807556]",[-1.27390818  0.11328558 -1.58794709],CubeS,normal,True,True,easy
"[0.008025035422531513, 0.032082964577361796, 0.0479533343465672]","[-0.012349420949739643, 0.038221972031150755, 0.011223881395508485]",[-1.39650852  0.04279919 -1.36527713],CubeS,normal,True,True,easy
"[-0.0046069645774684306, 0.02801696457736166, 0.0479533343465668]","[-0.02196947639165086, 0.041447708284962706, 0.002321009183349893]",[-1.46212827  0.17484637 -1.42657691],CubeS,normal,True,True,easy
"[0.031645035422531644, 0.0021289645773616504, 0.047953334346566776]","[-0.037491120734384556, 0.06706218011043327, -0.013685755085405591]",[-1.56781355  0.02537275 -1.4831206 ],CubeS,normal,True,True,easy
"[-0.04391770282859948, 0.00956045763684154, 0.047919369516356745]","[0.03537492843507365, 0.06323989787537218, -0.00453066078555628]",[-1.47267389  0.04793829 -1.46302721],CubeS,normal,True,True,easy
"[0.003802035422531479, 0.00797696457736175, 0.047953334346567116]","[-0.011457776650612513, 0.06057022199481642, 0.026177949779515333]",[-1.32794123  0.06445611 -1.43814457],CubeS,normal,True,True,easy
"[-0.07113896457746838, 0.005081964577361653, 0.04795333434656678]","[0.052675945986298656, 0.07213363580269844, 0.0037471273571745844]",[-1.40109282  0.11062339 -1.40584493],CubeS,normal,False,False,hard
"[-0.02561096457746857, 0.015426964577361793, 0.04795333434656725]","[0.003885163117906699, 0.05659828431522611, -0.01656830733666782]",[-1.56230892  0.12029612 -1.46213544],CubeS,normal,True,True,easy
"[-0.0012729645774685165, 0.002141964577361753, 0.047953334346567095]","[-0.024547774928227493, 0.06698987046430135, -0.0033881919575953]",[-1.51379641  0.14016075 -1.40952559],CubeS,normal,True,True,easy
"[0.005042035422531483, 0.03560696457736175, 0.0479533343465671]","[-0.010312573206405475, 0.034589381691741666, -0.012911950977693676]",[-1.53932833  0.03655852 -1.5724365 ],CubeS,normal,False,True,med
"[0.00949603542253156, 0.017513964577361738, 0.04795333434656706]","[-0.026404811548944654, 0.05153417446283258, 0.0024018630709076037]",[-1.46200654  0.10463382 -1.49133946],CubeS,normal,True,True,easy
"[-0.03234496457746848, 0.007449964577361792, 0.0479533343465672]","[-0.015891135839118983, 0.06561490485728796, 0.005565482369248912]",[-1.44093016  0.27567726 -1.53826854],CubeS,normal,True,True,easy
"[-0.022352964577468572, 0.01813996457736179, 0.047953334346567233]","[0.008126157903019423, 0.05392679442687394, -0.008042627773714433]",[-1.50487472  0.08031797 -1.42171298],CubeS,normal,True,True,easy
"[-0.015250964577468488, 0.009218964577361785, 0.047953334346567206]","[-0.025401064790398553, 0.06041996383342456, 0.0038680689655832042]",[-1.44065202  0.2356157  -1.61014704],CubeS,normal,True,True,easy
"[0.03138703542253152, 0.005681964577361785, 0.04795333434656719]","[-0.02914603362522874, 0.06475332027821265, 0.016973372802820408]",[-1.40987683  0.00340852 -1.3665532 ],CubeS,normal,True,True,easy
