obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[0.005877338054065099, 0.013223828303894269, 0.054980000121842634]","[0.009953421906958065, 0.05338905073270343, -0.034093378223338924]","[-1.72153945, -0.05718021, -1.75710809]",CylinderM,normal,True,True,easy
"[-0.02122933544241474, -0.002382158788868689, 0.054980000121842634]","[0.03243995296794305, 0.0706470427277402, -0.011696509326937068]","[-1.5959101, -0.05415259, -1.674653]",CylinderM,normal,True,True,easy
"[0.02340630813742183, -0.008268451538200074, 0.054980000121842634]","[0.003677605914750144, 0.07979434335429256, -0.008125512176165781]","[-1.56037024, -0.13855973, -1.67238015]",CylinderM,normal,True,True,easy
"[-0.004982888520663375, -0.003925281488060102, 0.054980000121842634]","[0.009360977688513156, 0.07219503018168548, -0.02606257507887832]","[-1.65740278, -0.02040068, -1.59599456]",CylinderM,normal,True,True,easy
"[0.021208371474558972, 0.025362353071561407, 0.054980000121842634]","[-0.008600779427804277, 0.03840398739733329, -0.04871813197808916]","[-1.81596607, -0.05324961, -1.66884446]",CylinderM,normal,True,True,easy
"[-0.007284504112599895, 0.003950497360317723, 0.054980000121842634]","[0.002646800709569151, 0.06493866000671455, -0.023335112135271965]","[-1.64500116, 0.03365696, -1.62415456]",CylinderM,normal,True,True,easy
"[0.037310258770999916, 0.0177177446695283, 0.054980000121842634]","[-0.019006097051940875, 0.048870457493289166, -0.04727693108577775]","[-1.81351961, -0.15108013, -1.45779087]",CylinderM,normal,True,True,easy
"[-0.012013002533632852, 0.01572470578032787, 0.054980000121842634]","[0.019126233976660318, 0.05362446462786247, -0.010024104319545783]","[-1.56771482, -0.04372582, -1.56503446]",CylinderM,normal,True,True,easy
"[-0.0017619108804220011, 0.020359461367599828, 0.054980000121842634]","[0.00010469015990156221, 0.04459232497690959, -0.04120660627203094]","[-1.76569052, 0.0266551, -1.63061893]",CylinderM,normal,True,True,easy
"[0.011726739459315298, -0.005909703052724243, 0.054980000121842634]","[0.002023254625736411, 0.07601932799078341, -0.014185434767265293]","[-1.59181868, -0.0614225, -1.73401745]",CylinderM,normal,True,True,easy
"[-0.021397781123637764, 0.013293960022414735, 0.054980000121842634]","[0.013352237958774587, 0.053789035856383303, -0.036772471690284886]","[-1.73434554, 0.06121842, -1.62344823]",CylinderM,normal,True,True,easy
"[-0.0018633270015462854, 0.0075804641851395325, 0.054980000121842634]","[0.014064690702984026, 0.05929483871883846, -0.031336668204825176]","[-1.69913217, -0.05625566, -1.65435758]",CylinderM,normal,True,True,easy
"[0.009395830744213147, 0.017462973976137913, 0.054980000121842634]","[0.004267965445399088, 0.05122994857582376, -0.024532244387956342]","[-1.65992513, -0.06852167, -1.67684956]",CylinderM,normal,True,True,easy
"[0.038162225628191625, 0.0003887349064263874, 0.05498000006092132]","[-0.019818631135950882, 0.06963154348622286, -0.034130175165031314]","[-1.69118297, -0.08374554, -1.67364091]",CylinderM,normal,True,True,easy
"[-0.009069508105730675, 0.008362281050407027, 0.054980000121842634]","[0.01999977903271536, 0.059450532092749565, -0.023170346417064624]","[-1.66308135, -0.03987115, -1.73907813]",CylinderM,normal,True,True,easy
"[-0.0032351901561902922, 0.017806738791812105, 0.054980000121842634]","[0.01742088674713515, 0.051339231500632534, -0.009584462315840323]","[-1.55965286, -0.09069571, -1.51577907]",CylinderM,normal,True,True,easy
"[-0.011201638644129288, 0.01910930491287329, 0.054980000121842634]","[0.03670397532248667, 0.047372417338406164, -0.002570861331544789]","[-1.52233988, -0.15974061, -1.57198879]",CylinderM,normal,True,True,easy
"[-0.01995825584988612, 0.0062719608910579375, 0.054980000121842634]","[0.03095504983174105, 0.06181922379399564, -0.014431880383778076]","[-1.59659573, -0.06240429, -1.58591179]",CylinderM,normal,True,True,easy
"[0.026786945162482513, 0.02428344626417816, 0.054980000121842634]","[-0.0109748476738235, 0.044643685080316686, -0.032228020716077846]","[-1.71123976, -0.10067671, -1.58094791]",CylinderM,normal,True,True,easy
"[0.036512591149953394, -0.0027370852793656758, 0.054980000121842634]","[-0.004629721209013525, 0.07412128747641657, -0.030207701433511716]","[-1.67888999, -0.17003892, -1.59747308]",CylinderM,normal,True,True,easy
"[0.041330941760412576, -0.001693809583477041, 0.054980000121842634]","[-0.015127646021457171, 0.06958368125333086, -0.04848009218815265]","[-1.75735815, -0.0890306, -1.79356253]",CylinderM,normal,True,True,easy
"[0.015489711902221263, -0.00037527620268951276, 0.054980000121842634]","[0.023715285938439495, 0.0642495961451325, -0.04425394099498279]","[-1.77122327, -0.20180547, -1.65652024]",CylinderM,normal,True,True,easy
"[-0.0006539631434321981, 0.024028374342927435, 0.054963960573118295]","[0.027053284324578708, 0.04324605810421639, -0.014840892142826464]","[-1.61983089, -0.15758451, -1.69461537]",CylinderM,normal,True,True,easy
"[-0.008561141933590751, -0.0065283392221878915, 0.054980000121842634]","[0.028158741842105983, 0.07300874257069591, -0.026259784504406317]","[-1.6842169, -0.0742201, -1.77677544]",CylinderM,normal,True,True,easy
"[-0.011437406290967827, 0.00899847235049857, 0.054980000121842634]","[0.030109468499271617, 0.05896064551523267, -0.005160745329496609]","[-1.54770531, -0.10818749, -1.6144223]",CylinderM,normal,True,True,easy
"[-0.0005905292602769415, 0.017320316221602308, 0.054980000121842634]","[0.024782557695920974, 0.049340587218528804, -0.02387481382985574]","[-1.67126336, -0.13186027, -1.69144152]",CylinderM,normal,True,True,easy
"[0.012206118816421158, -0.0003536693589445149, 0.054980000121842634]","[0.026028628948124022, 0.0680882165497977, -0.019801752105561527]","[-1.65799335, -0.17848639, -1.84382134]",CylinderM,normal,True,True,easy
"[0.03685885670246411, -0.0009270839959375334, 0.054980000121842634]","[-0.0176727139035242, 0.06835007997898344, -0.04561453269431812]","[-1.75859571, -0.08754971, -1.65271729]",CylinderM,normal,True,True,easy
"[0.0024777018089992865, 0.005232553299769597, 0.054980000121842634]","[0.00265973536813885, 0.06474146324516239, -0.010803826199269362]","[-1.57478388, -0.01682322, -1.77065147]",CylinderM,normal,True,True,easy
"[-0.003945561814633593, 0.01725524448587923, 0.054980000121842634]","[0.008447566917663313, 0.04812926681006639, -0.03916341269766042]","[-1.75501934, 0.01976169, -1.76274773]",CylinderM,normal,True,True,easy
"[0.0010059230107538931, 0.024147771400401273, 0.054980000121842634]","[0.021851882451319443, 0.04350629484872376, -0.018916080809098457]","[-1.62869938, -0.14502877, -1.59417879]",CylinderM,normal,True,True,easy
"[-0.02513252931460396, 0.017584327186045717, 0.054980000121842634]","[0.024172222203849448, 0.051959131356823895, -0.017436015791758717]","[-1.61162418, 0.0041994, -1.55453098]",CylinderM,normal,True,True,easy
"[-0.005787895970965764, 0.021037992034291714, 0.054980000121842634]","[0.009135000692201198, 0.048772106068083465, -0.01090716327833034]","[-1.5738176, -0.02112209, -1.57003654]",CylinderM,normal,True,True,easy
"[-0.0007819641133937035, -0.0007915308515064117, 0.054980000121842634]","[0.042983457464162204, 0.06279910726682766, -0.03297963621965184]","[-1.72148697, -0.21842888, -1.67935391]",CylinderM,normal,True,True,easy
"[0.0062674189220088584, 0.03264086686765121, 0.054980000121842634]","[-0.008084180181343844, 0.03530981603827336, -0.026120383776674756]","[-1.67459875, 0.02235589, -1.62619441]",CylinderM,normal,True,True,easy
"[0.018374133893817778, 0.020547044582951535, 0.054980000121842634]","[0.02421056431527764, 0.04609349200004205, -0.030333158684986903]","[-1.72434495, -0.22834794, -1.77915056]",CylinderM,normal,True,True,easy
"[0.006494511143212842, -0.00635587758363181, 0.054980000121842634]","[-0.021082231361514193, 0.07549913606370359, -0.004987807419581555]","[-1.550746, 0.07583779, -1.48958224]",CylinderM,normal,True,True,easy
"[0.027423718650791608, -0.001541422213033967, 0.054980000121842634]","[-0.034860279901233686, 0.06534947972004661, -0.04307256166454739]","[-1.75005584, 0.04535106, -1.58361857]",CylinderM,normal,True,True,easy
"[0.009160517032701699, 0.01949616221394599, 0.054980000121842634]","[0.001181752863566624, 0.04855589671947682, -0.028506218435127434]","[-1.68429411, -0.05774335, -1.61258158]",CylinderM,normal,True,True,easy
"[0.0040132824625177844, 0.007536623826405969, 0.054980000121842634]","[-0.004459930170567527, 0.06272703919989119, 0.0037118603007464646]","[-1.48889212, 0.00252412, -1.57366042]",CylinderM,normal,True,True,easy
"[0.01662151591386752, 0.01106111877787601, 0.054980000121842634]","[-0.0014894755561772402, 0.05774271032484931, -0.028024299683665755]","[-1.67556032, -0.09094016, -1.56738061]",CylinderM,normal,True,True,easy
"[-0.013238747216121154, 0.0012610815413925383, 0.054980000121842634]","[0.012590199362050341, 0.06673072394803924, -0.028968601793867402]","[-1.67755622, 0.00967079, -1.60710956]",CylinderM,normal,True,True,easy
"[0.05570466642289412, -0.0035169909890164783, 0.054980000121842634]","[-0.02106484726124308, 0.07985412836384659, -0.020043811849895427]","[-1.60270535, -0.16908579, -1.7375436]",CylinderM,normal,True,True,easy
"[0.031834188825494464, -0.003602070960518894, 0.054980000121842634]","[0.019262547932099392, 0.07170826613402181, -0.037983847914087335]","[-1.73613403, -0.24807834, -1.72533295]",CylinderM,normal,True,True,easy
"[0.02757557134103545, 0.01828891828407639, 0.054980000121842634]","[-0.02273992747333054, 0.052066905694880164, -0.015384286105436908]","[-1.59551856, -0.02602081, -1.61286714]",CylinderM,normal,True,True,easy
