obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[0.04608142780738189, 0.008960066491564295, 0.05155509829335716]","[-0.024154038698400555, 0.06222603778036569, -0.03639522594566316]","[-1.70627151, -0.13268516, -1.55301692]",Vase1M,normal,True,True,easy
"[0.006439692519823294, 0.03167454687151917, 0.05155509829335716]","[0.006556193423940837, 0.0360558319938133, -0.02929677895551811]","[-1.67699824, -0.08256523, -1.60247736]",Vase1M,normal,True,True,easy
"[-0.030337972645892223, 0.018974061503160895, 0.05155509829335716]","[0.03253475675055797, 0.047689161475749295, -0.033422218845767696]","[-1.69386312, -0.01335839, -1.57341036]",Vase1M,normal,True,True,easy
"[-0.03148004755237049, 0.00678764022321921, 0.05499999997915403]","[0.0304157800418927, 0.06091903716662808, -0.031036076302426677]","[-1.68995296, 0.00552049, -1.5668843]",Vase1M,normal,True,True,easy
"[-0.03976752329554595, 0.010792302921210594, 0.05155509829335716]","[0.04177018440465947, 0.05905872612140533, -0.008875853764238514]","[-1.55460342, -0.00866563, -1.6244527]",Vase1M,normal,True,True,easy
"[0.028714933904626466, 0.012421628964471361, 0.05155509829335716]","[0.003671366289697782, 0.05574693619339788, -0.04016482769044988]","[-1.72956105, -0.15192464, -1.75314421]",Vase1M,normal,True,True,easy
"[0.007471460754236258, 0.00031988421696255647, 0.05155509829335716]","[0.018470705615015647, 0.06907461374305873, -0.011115924780790104]","[-1.57365127, -0.13112514, -1.75790585]",Vase1M,normal,True,True,easy
"[0.028494226727245574, -0.0012787687329146417, 0.05499999997915403]","[-0.013150486463389257, 0.0715700968587939, -0.0253266180727558]","[-1.65605078, -0.09014027, -1.53358375]",Vase1M,normal,True,True,easy
"[0.02164951473681306, 0.009159832292669028, 0.05155509829335716]","[-0.020582597781757087, 0.05915548186199053, -0.0284521584149121]","[-1.66499986, -0.01868893, -1.49910141]",Vase1M,normal,True,True,easy
"[-0.009050449300801235, 0.014488798377916567, 0.05155509829335716]","[0.021562425146925374, 0.051310770033006735, -0.03437218484968012]","[-1.71930787, -0.02896969, -1.78590331]",Vase1M,normal,True,True,easy
"[0.02532378383609665, 0.018047133136721433, 0.05155509829335716]","[-0.028902006013900996, 0.046084712552273144, -0.043173405843475815]","[-1.75807506, 0.01719659, -1.55031869]",Vase1M,normal,True,True,easy
"[0.0020333811498023406, 0.016817012958980353, 0.05155509829335716]","[0.0014686527256283178, 0.05292858074355384, -0.01663201244165366]","[-1.58773647, -0.02308203, -1.55522372]",Vase1M,normal,True,True,easy
"[0.03725497786293061, -0.002138832713416451, 0.05155509829335716]","[-0.028969008768526937, 0.07252185850816034, -0.02450993183866597]","[-1.61377001, -0.03349748, -1.66562328]",Vase1M,normal,True,True,easy
"[0.036906083261698475, 0.015701929203064985, 0.05155509829335716]","[-0.03415021249580026, 0.04826674405986542, -0.048301108307795854]","[-1.74594381, 0.02822915, -1.73033361]",Vase1M,normal,True,True,easy
"[0.010048422714614964, 0.03433580669591333, 0.05155509829335716]","[-0.001584463822112376, 0.033390473698774986, -0.030779389858894945]","[-1.68367805, -0.02600376, -1.72596525]",Vase1M,normal,True,True,easy
"[0.03520638386966762, 0.01868333461588664, 0.05499999997915403]","[-0.036782238241601324, 0.045500464841068025, -0.0428647685216172]","[-1.76417022, 0.02196404, -1.61476636]",Vase1M,normal,True,True,easy
"[0.01694066124718468, 0.023092780534891964, 0.05155509829335716]","[0.024376960350686323, 0.042289775884132436, -0.03622334595605182]","[-1.735543, -0.23367607, -1.71712746]",Vase1M,normal,True,True,easy
"[0.0012804295567613055, 0.020830883210210066, 0.05155509829335716]","[-0.02619020473021501, 0.04328279045344702, -0.03669588355323089]","[-1.73778777, 0.12522489, -1.42512897]",Vase1M,normal,True,True,easy
"[-0.010221610619384843, 0.02874314673574989, 0.05155509829335716]","[0.029496108043608815, 0.035925683749604705, -0.031787933541108364]","[-1.69369016, -0.1271123, -1.58771047]",Vase1M,normal,True,True,easy
"[0.043091765006287586, 0.0005557593393859074, 0.05155509829335716]","[-0.020225982514693982, 0.0719435772851191, -0.027134136007938098]","[-1.63126867, -0.11047502, -1.68448748]",Vase1M,normal,True,True,easy
"[0.03949810903314882, 0.003751716982930208, 0.05155509829335716]","[-0.023661441733563254, 0.0689702957006378, -0.015000287291971798]","[-1.55607178, -0.077843, -1.72265264]",Vase1M,normal,True,True,easy
"[-0.02607348689542616, 0.004922867368319251, 0.05155509829335716]","[0.03052997298822039, 0.06235283670100747, -0.02976459008852763]","[-1.67479875, -0.01255586, -1.64498904]",Vase1M,normal,True,True,easy
"[0.010807948437261098, 0.009334794802348438, 0.05155509829335716]","[0.02421653251796095, 0.05552126048371719, -0.03809694474014403]","[-1.72321556, -0.19501615, -1.63611868]",Vase1M,normal,True,True,easy
"[-0.017626651761926824, 0.007962400691127136, 0.05155509829335716]","[0.012468671154424332, 0.06177875289857206, -0.020878410471519795]","[-1.61141274, 0.02948804, -1.5660594]",Vase1M,normal,True,True,easy
